year,quantity,price
1972,51.7,290.8931021
1973,139.9,157.079602
1974,105.9,205.4764933
1975,208.7,112.7299566
1976,116,236.3024768
1977,239.1,125.6176742
1978,213.4,146.3008385
1979,246.2,122.1307976
1980,148.4,232.0228722
1981,475.5,50.24578538
1982,312.6,91.32135909
1983,402.8,59.01168684
1984,492.5,45.52859498
1985,396.9,69.16297637
1986,319.2,118.4424872
1987,555.6,38.02517352
1988,358.1,123.0311909
1989,329.6,129.5954186
1990,207.9,223.5123161
1991,271.5,133.5807265
1992,310.9,107.0062483
1993,569.8,36.63415189
1994,271,159.8365512
1995,304.2,125.3764328
1996,340.4,112.6294389
1997,329.1,125.3626535
1998,304.9,134.3152262
1999,271.5,185.8475557
2000,321.1,156.942773
2001,422.3,107.6677724
2002,399.7,127.2211
2003,335.2,150.538499
2004,431.8,119.0691764
2005,300.4,119.8486187
2006,600.9,72.00807632
2007,259.3,116.4587709
2008,328.8,118.1496404
2009,174.5,136.3271066
2010,534.5,88.34350129
2011,302.5,172.8711529
2012,462.3,91.97675149
2013,500.2,95.47765164
2014,297.5,120.9516529
2015,279,117.1409454
2016,401.4,109.3968028
2017,215.9,167.0870911
2018,337.8,115.4550462
2019,216.6,171.8
